,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,893.0,945.0,986.0,702.0,1011.0,1247.0,978
Expenses,838.0,900.0,960.0,646.0,936.0,1173.0,946
Operating Profit,55.0,45.0,26.0,55.0,75.0,73.0,32
OPM %,6.0,5.0,3.0,8.0,7.0,6.0,3
Other Income,10.0,13.0,10.0,17.0,16.0,15.0,16
Interest,3.0,3.0,2.0,0.0,1.0,2.0,2
Depreciation,21.0,19.0,18.0,15.0,17.0,19.0,19
Profit before tax,41.0,36.0,17.0,57.0,73.0,68.0,27
Tax %,30.0,13.0,-32.0,19.0,20.0,28.0,
Net Profit,29.0,31.0,22.0,46.0,59.0,49.0,18
EPS in Rs,30.56,33.48,23.69,49.51,62.5,52.45,19.36
