,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,4,42,2,36,105,32
Cash from Investing Activity,16,1,-6,47,-66,-17
Cash from Financing Activity,-15,-15,-22,0,19,-7
Net Cash Flow,6,28,-25,83,59,9
