,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.30,1.14,1.44,2.01,4.75,6.53,8.62,13.96,11.5,8.56,8.12,7.34,7.28
Expenses,0.78,0.55,0.49,1.04,2.45,3.67,4.37,10.34,7.93,4.96,3.76,4.21,4.79
Operating Profit,0.52,0.59,0.95,0.97,2.3,2.86,4.25,3.62,3.57,3.6,4.36,3.13,2.49
OPM %,40.00,51.75,65.97,48.26,48.42,43.8,49.3,25.93,31.04,42.06,53.69,42.64,34.20
Other Income,0.02,0.00,0.01,0.04,0.03,0.2,0.43,1.42,0.48,0.14,0.08,0.24,0.29
Interest,0.01,0.00,0.00,0.0,0.0,0.19,0.96,0.77,0.8,0.54,0.48,0.62,0.67
Depreciation,0.10,0.11,0.11,0.14,0.21,0.34,0.44,0.52,0.59,0.61,0.59,0.79,0.80
Profit before tax,0.43,0.48,0.85,0.87,2.12,2.53,3.28,3.75,2.66,2.59,3.37,1.96,1.31
Tax %,32.56,35.42,32.94,32.18,37.74,33.2,26.22,28.27,27.44,22.39,25.22,30.1,
Net Profit,0.30,0.31,0.57,0.6,1.32,1.69,2.43,2.69,1.92,2.0,2.52,1.38,0.89
EPS in Rs,,,,0.41,0.65,0.84,1.2,1.33,0.95,0.99,1.24,0.68,0.45
