,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5,5,10,10,10,10,10,10,10,10,10
Reserves,65,73,80,95,177,213,236,267,241,295,386,466,486
Borrowings,58,48,48,31,25,22,17,4,49,15,50,152,190
Other Liabilities,39,46,50,50,75,52,80,95,97,132,158,176,170
Total Liabilities,167,172,183,181,288,297,344,377,397,452,605,803,856
Fixed Assets,32,65,68,63,90,88,79,76,125,145,157,385,391
CWIP,7,1,1,2,5,6,9,21,19,12,39,12,10
Investments,21,23,24,31,18,40,75,69,54,82,98,88,100
Other Assets,106,83,90,85,176,163,181,210,198,213,312,318,355
Total Assets,167,172,183,181,288,297,344,377,397,452,605,803,856
