,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.17,10.81,15.3,10.08,45.09,33.58,32.65,28.68,24.85,18.23,23.13,37.11,34.34
Expenses,5.89,9.3,13.47,8.39,42.34,30.6,29.63,24.93,20.94,14.8,19.61,33.05,31.37
Operating Profit,2.28,1.51,1.83,1.69,2.75,2.98,3.02,3.75,3.91,3.43,3.52,4.06,2.97
OPM %,27.91,13.97,11.96,16.77,6.1,8.87,9.25,13.08,15.73,18.82,15.22,10.94,8.65
Other Income,0.01,0.02,0.09,0.16,0.06,0.08,0.11,0.02,0.17,0.03,0.26,0.07,0.09
Interest,1.08,0.27,0.29,0.47,0.64,1.11,1.16,2.13,2.13,1.54,1.77,1.89,1.85
Depreciation,0.89,1.05,1.18,1.17,1.15,1.29,1.48,1.4,1.49,1.81,1.63,1.82,1.83
Profit before tax,0.32,0.21,0.45,0.21,1.02,0.66,0.49,0.24,0.46,0.11,0.38,0.42,-0.62
Tax %,43.75,19.05,22.22,38.1,14.71,31.82,48.98,4.17,26.09,27.27,15.79,16.67,
Net Profit,0.18,0.17,0.34,0.13,0.86,0.45,0.24,0.23,0.34,0.08,0.31,0.35,-0.82
EPS in Rs,0.37,0.35,0.71,0.27,1.78,0.93,0.5,0.48,0.71,0.17,0.64,0.51,-1.20
