,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.66,25.7,73.08,58.18,72.19,56.88,97.73,151.9,52.37,20.59,11.46,12.4,8.41
Expenses,23.56,25.59,69.61,51.7,46.78,43.86,89.11,151.34,56.06,22.92,13.01,12.94,9.65
Operating Profit,3.1,0.11,3.47,6.48,25.41,13.02,8.62,0.56,-3.69,-2.33,-1.55,-0.54,-1.24
OPM %,11.63,0.43,4.75,11.14,35.2,22.89,8.82,0.37,-7.05,-11.32,-13.53,-4.35,-14.74
Other Income,-4.02,0.09,-0.25,0.34,-4.61,1.22,-11.44,1.43,1.08,2.72,0.41,0.72,0.66
Interest,1.95,1.75,3.31,4.09,2.29,1.36,11.0,4.35,3.49,1.77,1.13,0.98,0.97
Depreciation,0.21,0.21,0.22,0.24,0.29,0.36,0.36,0.39,0.41,0.33,0.28,0.25,0.24
Profit before tax,-3.08,-1.76,-0.31,2.49,18.22,12.52,-14.18,-2.75,-6.51,-1.71,-2.55,-1.05,-1.79
Tax %,0.0,0.0,-125.81,20.48,20.47,22.52,-8.04,-10.18,0.46,-0.58,0.78,54.29,
Net Profit,-3.08,-1.75,-0.7,1.98,14.49,9.7,-15.32,-3.03,-6.48,-1.71,-2.53,-0.48,-1.22
EPS in Rs,-1.36,-0.77,-0.31,0.74,5.44,3.64,-5.75,-1.14,-2.43,-0.64,-0.95,-0.18,-0.46
