,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.0,0.01,0.07,1.07,1.8,5.19,14.19,13.25,35.36,42.07,47.3,49.06
Expenses,0.16,0.07,0.35,0.24,0.86,1.54,3.84,12.73,10.98,27.18,33.37,38.91,40.61
Operating Profit,-0.16,-0.07,-0.34,-0.17,0.21,0.26,1.35,1.46,2.27,8.18,8.7,8.39,8.45
OPM %,,,-3400.00,-242.86,19.63,14.44,26.01,10.29,17.13,23.13,20.68,17.74,17.22
Other Income,0.16,0.07,0.00,-24.63,0.2,0.19,0.24,0.04,-0.12,-0.28,0.3,0.98,1.00
Interest,0.0,0.0,0.00,0.0,0.01,0.01,0.12,0.51,0.84,0.83,0.5,0.54,0.70
Depreciation,0.0,0.0,0.00,0.03,0.38,0.25,0.39,0.94,1.28,1.42,1.44,1.41,1.41
Profit before tax,0.0,0.0,-0.34,-24.83,0.02,0.19,1.08,0.05,0.03,5.65,7.06,7.42,7.34
Tax %,,,0.00,0.0,0.0,21.05,20.37,60.0,33.33,27.96,26.35,29.11,
Net Profit,0.0,0.0,-0.34,-24.83,0.02,0.16,0.86,0.02,0.03,4.07,5.2,5.26,5.09
EPS in Rs,,,,-3.41,0.0,0.02,0.12,0.0,0.0,0.56,0.71,0.97,0.88
