,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,19.52,80.02,94.28,86.49,102.28,103.01,85.61
Expenses,18.75,78.98,93.7,84.38,100.53,100.52,83.01
Operating Profit,0.77,1.04,0.58,2.11,1.75,2.49,2.60
OPM %,3.94,1.3,0.62,2.44,1.71,2.42,3.04
Other Income,0.46,2.47,4.35,2.98,3.93,3.57,2.02
Interest,0.24,0.53,0.69,0.57,0.78,0.95,1.00
Depreciation,0.05,0.07,0.1,0.12,0.25,0.55,0.59
Profit before tax,0.94,2.91,4.14,4.4,4.65,4.56,3.03
Tax %,21.28,29.9,27.54,29.55,27.74,28.07,
Net Profit,0.74,2.04,2.99,3.11,3.35,3.28,2.19
EPS in Rs,1.44,2.82,3.68,3.83,4.12,4.04,2.69
