,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-11.15,-4.23,-3.47,-2.5,3.24,2.28
Cash from Investing Activity,-0.72,-0.2,-2.5,-0.63,-1.44,-0.91
Cash from Financing Activity,13.14,3.22,5.99,3.13,-1.82,-1.36
Net Cash Flow,1.27,-1.2,0.01,0.0,-0.02,0.0
