,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.13,7.23,8.12,8.12,8.12,8.12,8.12
Reserves,2.64,7.84,15.86,18.81,21.63,24.37,24.86
Borrowings,6.34,4.8,5.55,10.56,10.02,10.08,14.49
Other Liabilities,20.5,23.23,20.9,20.21,25.39,22.03,18.79
Total Liabilities,34.61,43.1,50.43,57.7,65.16,64.6,66.26
Fixed Assets,0.67,0.79,0.85,0.96,1.6800000000000002,4.48,4.38
CWIP,0.0,0.0,2.15,2.56,2.93,0.43,0.61
Investments,0.0,0.0,0.0,0.0,0.0,0.05,0.05
Other Assets,33.94,42.31,47.43,54.18,60.55,59.64,61.22
Total Assets,34.61,43.1,50.43,57.7,65.16,64.6,66.26
