,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,40.13,49.69,44.59,33.69,52.83,42.4,59.9,53.88,49.15,36.46
Expenses,39.5,49.09,44.61,32.71,51.7,40.88,59.7,53.39,47.33,35.68
Operating Profit,0.63,0.6,-0.02,0.98,1.13,1.52,0.2,0.49,1.82,0.78
OPM %,1.57,1.21,-0.04,2.91,2.14,3.58,0.33,0.91,3.7,2.14
Other Income,1.07,2.42,1.93,0.9,2.08,1.26,2.67,2.46,1.25,0.77
Interest,0.34,0.32,0.37,0.33,0.24,0.35,0.4,0.48,0.42,0.58
Depreciation,0.05,0.04,0.06,0.05,0.06,0.11,0.14,0.24,0.31,0.28
Profit before tax,1.31,2.66,1.48,1.5,2.91,2.32,2.33,2.23,2.34,0.69
Tax %,30.53,33.83,16.22,29.33,28.87,28.45,27.9,28.7,27.35,28.99
Net Profit,0.91,1.75,1.25,1.05,2.06,1.67,1.68,1.59,1.7,0.49
EPS in Rs,1.26,2.42,1.54,1.29,2.54,2.06,2.07,1.96,2.09,0.6
