,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,7,13,14,14,14,14.0
Reserves,-41,-20,119,143,211,334,403,472,519.0
Preference Capital,137,137,0,0,0,0,0,0,
Borrowings,161,144,153,185,209,154,175,355,402.0
Other Liabilities,204,227,149,168,243,279,352,397,438.0
Total Liabilities,325,353,422,503,677,781,944,1238,1373.0
Fixed Assets,117,116,41,166,259,253,238,309,622.0
CWIP,51,86,106,23,14,6,61,250,50.0
Investments,0,0,0,0,0,0,0,0,0.0
Other Assets,157,151,275,315,404,521,645,680,701.0
Total Assets,325,353,422,503,677,781,944,1238,1373.0
