,Mar 2006,Mar 2007,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.87,2.33,0.0,0.0,0.02,1.57,0.00,0.00,0.0,0.01,0.02,0.17,0.25
Expenses,1.75,2.26,0.0,0.0,0.02,1.56,0.07,0.03,0.01,0.13,0.07,0.54,0.23
Operating Profit,0.12,0.07,0.0,0.0,0.0,0.01,-0.07,-0.03,-0.01,-0.12,-0.05,-0.37,0.02
OPM %,6.42,3.0,,,0.0,0.64,,,,-1200.0,-250.00,-217.65,8.00
Other Income,0.1,0.12,0.0,0.0,2.3,0.0,0.05,0.02,0.01,0.01,0.05,0.43,0.05
Interest,0.04,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.00,0.0,0.00
Depreciation,0.37,0.48,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.00,0.0,0.00
Profit before tax,-0.19,-0.29,0.0,0.0,2.3,0.01,-0.02,-0.01,0.0,-0.11,0.00,0.06,0.07
Tax %,0.0,0.0,,,0.0,0.0,0.00,0.00,,0.0,,16.67,
Net Profit,-0.19,-0.29,0.0,0.0,2.3,0.01,-0.02,-0.01,0.0,-0.11,0.00,0.04,0.05
EPS in Rs,-0.39,-0.59,0.0,0.0,4.69,0.02,-0.04,-0.02,0.0,-0.22,0.00,0.08,0.10
