,Mar 2011,Mar 2012,Mar 2013,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,424,222.0,303.0,703.0,1112.0,2160.0,2426
Expenses,396,219.0,298.0,653.0,1023.0,1983.0,2210
Operating Profit,28,3.0,5.0,50.0,89.0,177.0,216
OPM %,7,1.0,2.0,7.0,8.0,8.0,9
Other Income,3,4.0,7.0,2.0,5.0,4.0,7
Interest,6,11.0,11.0,18.0,23.0,48.0,56
Depreciation,2,5.0,9.0,18.0,22.0,35.0,41
Profit before tax,23,-9.0,-9.0,15.0,49.0,98.0,126
Tax %,23,-0.0,43.0,23.0,24.0,21.0,
Net Profit,18,-9.0,-5.0,12.0,37.0,77.0,100
EPS in Rs,,-5.25,-3.05,5.9,17.4,34.08,43.32
