,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,184.0,330.0,137.0,198.0,262.0,514.0,537.0,336.0,459.0,828.0,678.0,460.0
Expenses,169.0,305.0,128.0,186.0,245.0,464.0,500.0,309.0,422.0,752.0,612.0,423.0
Operating Profit,15.0,24.0,9.0,13.0,17.0,50.0,36.0,27.0,37.0,76.0,66.0,38.0
OPM %,8.0,7.0,7.0,6.0,6.0,10.0,7.0,8.0,8.0,9.0,10.0,8.0
Other Income,1.0,-0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0
Interest,5.0,5.0,4.0,4.0,5.0,9.0,9.0,9.0,12.0,18.0,14.0,12.0
Depreciation,5.0,5.0,5.0,5.0,6.0,7.0,8.0,8.0,9.0,10.0,11.0,11.0
Profit before tax,7.0,14.0,1.0,4.0,7.0,37.0,21.0,11.0,17.0,49.0,42.0,18.0
Tax %,7.0,28.0,34.0,18.0,19.0,25.0,20.0,33.0,21.0,18.0,20.0,30.0
Net Profit,6.0,10.0,1.0,4.0,6.0,28.0,16.0,7.0,14.0,40.0,34.0,12.0
EPS in Rs,3.32,5.3,0.29,1.75,2.61,13.02,7.73,3.36,6.04,17.66,14.87,4.75
