,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,410.0,464.0,633.0,711.0,1194.0,1484.0,1426
Expenses,357.0,407.0,561.0,596.0,951.0,1231.0,1187
Operating Profit,53.0,57.0,72.0,116.0,243.0,254.0,239
OPM %,13.0,12.0,11.0,16.0,20.0,17.0,17
Other Income,18.0,26.0,36.0,4.0,1.0,3.0,2
Interest,20.0,14.0,13.0,17.0,20.0,29.0,29
Depreciation,8.0,9.0,20.0,32.0,53.0,71.0,75
Profit before tax,42.0,60.0,75.0,70.0,172.0,157.0,138
Tax %,25.0,33.0,20.0,62.0,37.0,25.0,
Net Profit,31.0,40.0,60.0,27.0,109.0,117.0,103
EPS in Rs,3233.3,4129.5,3.97,1.77,3.57,3.84,3.38
