,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,309.26,155.54,273.0,433.55,352.34,337.71,333.17,465.62,347.75,353.76,258.66
Expenses,270.17,149.02,218.06,340.72,273.93,276.03,289.72,373.72,291.21,287.56,234.19
Operating Profit,39.09,6.52,54.94,92.83,78.41,61.68,43.45,91.9,56.54,66.2,24.47
OPM %,12.64,4.19,20.12,21.41,22.25,18.26,13.04,19.74,16.26,18.71,9.46
Other Income,0.31,1.16,0.45,0.49,0.29,0.56,0.74,0.88,0.58,0.21,0.44
Interest,3.54,3.99,4.67,4.69,6.09,5.58,7.65,8.23,7.23,6.94,6.46
Depreciation,10.11,10.42,12.8,13.77,15.45,14.53,16.97,19.56,19.98,17.07,18.08
Profit before tax,25.75,-6.73,37.92,74.86,57.16,42.13,19.57,64.99,29.91,42.4,0.37
Tax %,133.63,35.22,25.53,26.9,59.85,25.66,25.65,25.67,23.27,25.75,13.51
Net Profit,-8.67,-4.37,28.24,54.72,22.96,31.32,14.54,48.31,22.95,31.48,0.32
EPS in Rs,-0.57,-0.29,1.86,1.8,0.75,1.03,0.48,1.59,0.75,1.03,0.01
