,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,2.55,3.3,1.43,2.7,6.01,2.48,0.00,0.35,1.02,-0.62,0.47,0.86,0.95
Expenses,0.07,0.18,0.56,0.21,0.37,0.71,1.21,0.29,0.17,0.52,-0.01,0.25,0.27
Operating Profit,2.48,3.12,0.87,2.49,5.64,1.77,-1.21,0.06,0.85,-1.14,0.48,0.61,0.68
OPM %,97.25,94.55,60.84,92.22,93.84,71.37,,17.14,83.33,,102.13,70.93,71.58
Other Income,0.0,0.0,0.02,0.0,0.0,0.0,0.00,0.0,0.0,0.03,0.0,0.02,0.0
Interest,1.07,0.97,1.98,1.07,3.22,1.19,0.06,0.1,0.0,0.00,0.0,0.0,0.0
Depreciation,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Profit before tax,1.4,2.14,-1.1,1.41,2.41,0.57,-1.29,-0.06,0.83,-1.13,0.46,0.61,0.66
Tax %,0.0,23.36,21.82,0.0,0.0,215.79,33.33,0.0,0.0,-40.71,15.22,0.0,0.0
Net Profit,1.41,1.64,-0.85,1.41,2.41,-0.66,-0.87,-0.06,0.83,-1.58,0.39,0.61,0.66
EPS in Rs,7.62,8.86,-4.59,7.62,13.03,-3.57,-4.70,-0.32,4.49,-8.54,2.11,3.3,3.57
