,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,36.16,63.59,73.92,72.36,95.28,99.57
Expenses,33.61,59.99,69.47,67.47,89.87,92.73
Operating Profit,2.55,3.6,4.45,4.89,5.41,6.84
OPM %,7.05,5.66,6.02,6.76,5.68,6.87
Other Income,0.01,0.05,0.06,0.01,0.01,0.06
Interest,1.1,1.85,2.0,2.51,2.55,2.50
Depreciation,0.42,0.58,0.62,0.7,0.84,0.87
Profit before tax,1.04,1.22,1.89,1.69,2.03,3.53
Tax %,29.81,25.41,26.46,5.92,9.85,
Net Profit,0.74,0.9,1.4,1.6,1.83,2.52
EPS in Rs,0.67,0.82,1.27,1.45,1.21,1.68
