,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,27.87,44.49,33.82,61.45,38.12
Expenses,25.81,41.72,31.08,58.78,33.95
Operating Profit,2.06,2.77,2.74,2.67,4.17
OPM %,7.39,6.23,8.1,4.34,10.94
Other Income,0.0,0.01,0.01,0.0,0.06
Interest,1.02,1.42,1.27,1.28,1.22
Depreciation,0.35,0.35,0.53,0.31,0.56
Profit before tax,0.69,1.01,0.95,1.08,2.45
Tax %,5.8,5.94,2.11,16.67,33.88
Net Profit,0.65,0.95,0.92,0.9,1.62
EPS in Rs,0.59,0.86,0.61,0.6,1.08
