,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,41.26,41.26,41.26,40.71,40.71,40.71,40.71,40.71,40.71
DIIs,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Public,58.73,58.73,58.73,59.28,59.28,59.28,59.28,59.28,59.28
No. of Shareholders,9877.0,9893.0,9554.0,9552.0,9552.0,9545.0,9531.0,9539.0,9450.0
