,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,62.58,62.38,62.62,63.0,60.41
FIIs,11.62,10.94,12.19,20.24,18.74
DIIs,4.71,4.6,4.22,8.43,13.02
Public,21.09,22.08,20.97,8.32,7.82
No. of Shareholders,7356.0,17191.0,29336.0,17130.0,20706.0
