,2006-03-01,2007-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11,11,12,12,12,12,14,14,14,14,14
Reserves,35,42,711,842,1008,1155,1292,1491,1716,1925,1946
Borrowings,57,74,0,113,129,90,86,84,92,131,162
Other Liabilities,45,65,274,322,420,395,409,450,593,518,584
Total Liabilities,148,192,997,1289,1569,1652,1801,2038,2414,2587,2707
Fixed Assets,24,30,330,510,490,502,572,573,597,684,700
CWIP,1,6,3,2,4,21,6,18,7,10,15
Investments,2,2,68,75,167,192,331,420,356,249,233
Other Assets,121,154,596,703,908,937,892,1027,1456,1645,1758
Total Assets,148,192,997,1289,1569,1652,1801,2038,2414,2587,2707
