,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,2.0,2.0,2.0,2.0,2.0,2.0,6.45,6.45,6.45,6.45,6.45,6.45
Reserves,-0.02,-0.05,-0.05,-0.4,-0.45,21.59,17.99,17.99,18.65,18.71,19.12,19.17
Borrowings,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.07,1.07,1.3
Other Liabilities,0.1,0.1,0.04,0.0,0.08,0.88,0.39,0.39,0.54,1.15,1.57,2.22
Total Liabilities,2.08,2.25,1.99,1.6,1.63,24.47,24.83,24.83,26.64,27.38,28.21,29.14
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.02,0.03,0.02,0.01,0.01
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.05,0.05,0.12,0.3
Other Assets,1.96,2.13,1.87,1.48,1.51,24.3,24.69,24.69,26.56,27.31,28.08,28.83
Total Assets,2.08,2.25,1.99,1.6,1.63,24.47,24.83,24.83,26.64,27.38,28.21,29.14
