,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,15.88,17.53,31.7,49.28,53.52
Expenses,14.2,15.33,27.8,41.6,40.84
Operating Profit,1.68,2.2,3.9,7.68,12.68
OPM %,10.58,12.55,12.3,15.58,23.69
Other Income,0.02,0.08,0.04,0.27,0.60
Interest,0.11,0.19,0.11,0.06,0.08
Depreciation,0.13,0.22,0.37,0.51,0.47
Profit before tax,1.46,1.87,3.46,7.38,12.73
Tax %,28.08,23.53,23.7,26.15,
Net Profit,1.05,1.43,2.64,5.45,9.28
EPS in Rs,52.5,71.5,132.0,9.54,16.24
