,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,287.3,277.07,181.52,164.18,173.02,95.16,147.9,64.72,12.58,20.04,39.88,73.65
Expenses,272.31,265.82,166.44,161.75,161.2,97.82,157.19,77.63,94.45,29.57,43.92,79.05
Operating Profit,14.99,11.25,15.08,2.43,11.82,-2.66,-9.29,-12.91,-81.87,-9.53,-4.04,-5.40
OPM %,5.22,4.06,8.31,1.48,6.83,-2.8,-6.28,-19.95,-650.79,-47.55,-10.13,-7.33
Other Income,1.64,4.46,1.79,4.58,0.21,0.16,1.02,8.75,0.23,14.11,7.0,5.56
Interest,10.4,10.72,10.51,11.68,12.12,10.2,6.6,5.96,6.17,0.54,0.33,0.14
Depreciation,3.68,4.12,5.58,10.58,9.2,7.89,6.65,5.54,4.54,3.67,2.92,3.28
Profit before tax,2.55,0.87,0.78,-15.25,-9.29,-20.59,-21.52,-15.66,-92.35,0.37,-0.29,-3.26
Tax %,38.43,36.78,102.56,12.66,35.2,13.55,5.72,12.58,19.48,1621.62,668.97,
Net Profit,1.58,0.55,-0.01,-13.32,-6.03,-17.81,-20.3,-13.69,-74.37,-5.63,1.65,-2.03
EPS in Rs,0.05,0.02,0.0,-0.4,-0.18,-0.54,-0.61,-0.41,-2.24,-0.17,0.05,-0.06
