,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,64.88,64.94,60.24,54.13,51.5,51.56,51.56,38.19,38.19,39.52,39.52,36.17
Public,35.12,35.06,39.76,45.87,48.5,48.44,48.44,61.8,61.8,60.47,60.48,63.83
No. of Shareholders,6310.0,6865.0,12375.0,16873.0,25871.0,35476.0,36430.0,36271.0,37360.0,37766.0,37957.0,43511.0
