,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,15.83,33.24,36.28
Reserves,76.28,76.83,76.85,63.53,59.66,42.48,21.67,8.05,-65.97,-47.29,-15.57,5.75
Borrowings,78.96,79.48,85.68,95.72,101.11,81.59,74.27,75.6,92.65,79.09,67.48,41.5
Other Liabilities,41.59,87.72,69.04,67.33,75.42,89.11,86.19,84.52,72.05,39.41,35.31,32.85
Total Liabilities,212.66,259.86,247.4,242.41,252.02,229.01,197.96,184.0,114.56,87.04,120.46,122.01
Fixed Assets,27.88,29.83,60.55,56.26,47.52,41.61,34.27,28.87,24.4,20.75,24.54,22.82
CWIP,12.46,15.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,7.07,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,165.25,214.82,186.83,186.13,204.5,187.4,163.69,155.13,90.16,66.29,95.92,99.19
Total Assets,212.66,259.86,247.4,242.41,252.02,229.01,197.96,184.0,114.56,87.04,120.46,122.01
