,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,4.36,6.68,3.59,8.5,6.18,5.92,3.73,10.34,7.05
Expenses,3.79,5.84,3.31,7.26,5.51,4.73,3.79,9.3,6.89
Operating Profit,0.57,0.84,0.28,1.24,0.67,1.19,-0.06,1.04,0.16
OPM %,13.07,12.57,7.8,14.59,10.84,20.1,-1.61,10.06,2.27
Other Income,0.0,0.05,0.02,0.01,0.0,0.13,0.03,0.22,0.02
Interest,0.17,0.15,0.12,0.29,0.29,0.36,0.36,0.22,0.94
Depreciation,0.02,0.02,0.02,0.03,0.17,0.01,0.21,0.07,0.84
Profit before tax,0.38,0.72,0.16,0.93,0.21,0.95,-0.6,0.97,-1.6
Tax %,26.32,27.78,25.0,34.41,23.81,36.84,0.0,16.49,25.0
Net Profit,0.28,0.53,0.13,0.6,0.15,0.6,-0.6,0.81,-1.2
EPS in Rs,18.67,3.53,0.87,4.0,1.0,4.0,-4.0,5.4,-8.0
