,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,34.82,29.09,36.72,38.37,40.8,44.3,43.73,42.61,43.79,33.78,26.83,28.78,23.31
Expenses,32.3,28.75,36.24,38.3,38.67,41.83,41.6,40.33,41.86,32.63,25.46,27.5,22.95
Operating Profit,2.52,0.34,0.48,0.07,2.13,2.47,2.13,2.28,1.93,1.15,1.37,1.28,0.36
OPM %,7.24,1.17,1.31,0.18,5.22,5.58,4.87,5.35,4.41,3.4,5.11,4.45,1.54
Other Income,0.02,0.03,-0.04,0.06,0.01,0.03,0.05,0.03,0.03,0.03,0.41,-0.21,0.03
Interest,0.85,0.92,1.13,1.43,1.54,1.84,1.39,1.36,1.28,1.04,1.09,1.05,1.17
Depreciation,0.25,0.2,0.2,0.39,0.54,0.54,0.54,0.54,0.56,0.57,0.55,0.54,0.54
Profit before tax,1.44,-0.75,-0.89,-1.69,0.06,0.12,0.25,0.41,0.12,-0.43,0.14,-0.52,-1.32
Tax %,34.72,-0.0,-0.0,-0.0,16.67,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
Net Profit,0.95,-0.75,-0.89,-1.69,0.05,0.12,0.24,0.4,0.12,-0.43,0.14,-0.52,-1.32
EPS in Rs,1.46,-1.15,-1.37,-2.61,0.08,0.19,0.37,0.62,0.19,-0.66,0.22,-0.8,-2.03
