,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.94,55.11,15.39,19.87,39.57,77.31,83.59
Expenses,8.41,51.65,19.29,21.79,38.06,67.3,72.92
Operating Profit,0.53,3.46,-3.9,-1.92,1.51,10.01,10.67
OPM %,5.93,6.28,-25.34,-9.66,3.82,12.95,12.76
Other Income,0.01,0.94,0.89,0.25,-0.08,-1.25,-1.09
Interest,0.03,0.35,0.77,1.07,1.83,2.12,2.48
Depreciation,0.12,1.2,1.98,1.78,1.81,2.24,3.03
Profit before tax,0.39,2.85,-5.76,-4.52,-2.21,4.4,4.07
Tax %,23.08,-27.37,26.04,25.66,25.34,26.59,
Net Profit,0.3,3.64,-4.26,-3.36,-1.65,3.24,2.82
EPS in Rs,0.5,6.07,-7.1,-5.6,-2.48,4.41,3.84
