,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,5.83,5.54,14.32,14.37,25.25,36.76,40.6,42.99
Expenses,7.13,6.23,15.55,15.76,22.46,34.72,32.66,40.26
Operating Profit,-1.3,-0.69,-1.23,-1.39,2.79,2.04,7.94,2.73
OPM %,-22.3,-12.45,-8.59,-9.67,11.05,5.55,19.56,6.35
Other Income,0.41,0.04,0.21,0.25,-0.32,0.28,-1.52,0.43
Interest,0.36,0.46,0.61,0.46,1.26,0.85,1.25,1.23
Depreciation,1.03,1.66,0.12,0.85,0.96,0.97,1.27,1.76
Profit before tax,-2.28,-2.77,-1.75,-2.45,0.25,0.5,3.9,0.17
Tax %,29.39,25.99,25.14,25.71,28.0,16.0,27.69,100.0
Net Profit,-1.6,-2.05,-1.31,-1.82,0.17,0.42,2.81,0.01
EPS in Rs,-2.67,-3.42,-2.18,-2.89,0.26,0.57,3.83,0.01
