,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.0,6.0,6.0,6.0,6.65,7.34,7.34
Reserves,6.11,6.18,1.56,-1.8,7.52,33.99,38.6
Borrowings,0.61,4.01,9.63,18.88,13.55,27.25,34.81
Other Liabilities,8.35,17.71,14.86,15.32,11.24,14.05,15.95
Total Liabilities,19.07,33.9,32.05,38.4,38.96,82.63,96.7
Fixed Assets,2.89,12.98,11.8,11.25,10.43,13.08,32.7
CWIP,0.56,0.42,0.04,0.25,1.17,12.87,2.64
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,15.62,20.5,20.21,26.9,27.36,56.68,61.36
Total Assets,19.07,33.9,32.05,38.4,38.96,82.63,96.7
