,2010-06-01,2011-06-01,2012-12-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01
Equity Capital,41,43,46,46,83,86,95,99,99,99,99,99.0
Reserves,2643,2801,3242,3216,5236,3311,3579,3734,3895,4040,2812,-361.0
Preference Capital,70,138,75,75,49,72,24,15,15,15,15,
Borrowings,4352,7692,7528,6402,4874,4906,5182,5772,6717,6863,7169,7460.0
Other Liabilities,2671,3788,4221,2484,3257,1635,1694,1852,2372,4664,1776,1241.0
Total Liabilities,9708,14324,15037,12149,13450,9938,10549,11457,13083,15666,11856,8438.0
Fixed Assets,2647,3278,4632,4520,4998,5422,5982,6759,7423,8356,4750,3869.0
CWIP,304,345,553,394,277,422,456,585,597,630,92,0.0
Investments,910,1370,1391,1452,1622,1128,1135,865,957,1136,1080,760.0
Other Assets,5847,9332,8461,5783,6553,2966,2976,3247,4105,5544,5933,3808.0
Total Assets,9708,14324,15037,12149,13450,9938,10549,11457,13083,15666,11856,8438.0
