,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,9.79,14.04,10.1,10.96,16.34,21.69
Expenses,9.65,13.71,10.12,10.46,13.81,20.37
Operating Profit,0.14,0.33,-0.02,0.5,2.53,1.32
OPM %,1.43,2.35,-0.2,4.56,15.48,6.09
Other Income,1.22,1.09,0.49,0.58,1.45,1.72
Interest,0.08,0.19,0.21,0.24,0.21,0.31
Depreciation,0.32,0.27,0.3,0.38,0.34,0.38
Profit before tax,0.96,0.96,-0.04,0.46,3.43,2.35
Tax %,20.83,45.83,-400.0,45.65,18.08,20.85
Net Profit,0.76,0.51,-0.19,0.26,2.8,1.86
EPS in Rs,1.03,0.48,-0.18,0.25,2.64,1.76
