,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,128.63,132.07,168.04,212.81,160.39,185.11
Inventory Days,275.16,104.76,194.22,138.23,121.23,147.32
Days Payable,33.95,38.77,118.54,89.18,96.63,117.45
Cash Conversion Cycle,369.84,198.05,243.72,261.85,184.98,214.97
Working Capital Days,225.19,186.92,251.52,259.76,173.12,234.25
ROCE %,,3.74,-0.26,1.06,8.47,6.9
