,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.94,7.06,7.06,7.06,10.59,10.59,10.59
Reserves,12.56,18.19,17.66,17.94,16.79,18.14,19.58
Borrowings,-0.01,1.1,2.36,1.11,0.65,2.66,3.31
Other Liabilities,2.26,1.97,2.8,2.55,4.02,5.22,9.11
Total Liabilities,19.75,28.32,29.88,28.66,32.05,36.61,42.59
Fixed Assets,4.68,5.06,5.27,5.01,5.1,5.1,4.22
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,4.41,6.42,8.47,6.62,8.13,10.78,13.77
Other Assets,10.66,16.84,16.14,17.03,18.82,20.73,24.6
Total Assets,19.75,28.32,29.88,28.66,32.05,36.61,42.59
