,2016-06-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,51.28,51.28,51.28,51.28,51.28,51.28,51.28
DIIs,5.14,1.92,1.92,1.92,1.92,1.92,1.92
Public,43.58,46.8,46.8,46.8,46.8,46.8,46.81
No. of Shareholders,21287.0,18608.0,18255.0,17876.0,26392.0,26238.0,25477.0
