,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,40.09,23.89,0.00,13.0,0.00,0.04,0.00,0.00,0.00,0.00,-0.05,0.0
Expenses,0.0,40.03,23.85,0.27,13.29,4.65,8.22,1.68,0.24,4.55,0.72,0.59,0.39
Operating Profit,0.0,0.06,0.04,-0.27,-0.29,-4.65,-8.18,-1.68,-0.24,-4.55,-0.72,-0.64,-0.39
OPM %,,0.15,0.17,,-2.23,,-20450.0,,,,,,
Other Income,0.0,0.0,0.1,0.95,0.93,0.79,0.72,1.70,-1.03,-0.17,0.28,-7.45,-0.38
Interest,0.0,0.01,0.01,0.08,0.01,0.00,0.0,0.00,0.00,0.00,0.02,0.00,0.0
Depreciation,0.0,0.0,0.0,0.00,0.0,0.03,0.02,0.01,0.01,0.01,0.00,0.00,0.0
Profit before tax,0.0,0.05,0.13,0.60,0.63,-3.89,-7.48,0.01,-1.28,-4.73,-0.46,-8.09,-0.77
Tax %,,40.0,23.08,30.00,31.75,-0.26,0.0,0.00,0.00,-1.48,0.00,0.00,
Net Profit,0.0,0.03,0.09,0.41,0.43,-3.90,-7.48,0.01,-1.28,-4.79,-0.46,-8.09,-0.77
EPS in Rs,,0.03,0.04,0.19,0.2,-1.80,-3.45,0.00,-0.59,-2.21,-0.21,-3.73,-0.34
