,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5,5,5,5,5,5,5,5
Reserves,9,9,10,11,12,12,15,18,24,26
Borrowings,28,28,25,35,37,41,45,49,62,63
Other Liabilities,23,25,26,28,30,29,33,33,37,40
Total Liabilities,65,67,66,79,84,87,98,105,127,134
Fixed Assets,23,22,22,23,30,32,29,34,50,52
CWIP,0,0,0,4,0,0,0,0,3,7
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,42,45,44,52,54,56,69,71,74,75
Total Assets,65,67,66,79,84,87,98,105,127,134
