,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,67.0,66.0,70.0,80.0,96.0,81.0,116.0,138.0,179.0,174
Expenses,63.0,60.0,63.0,72.0,88.0,72.0,105.0,125.0,164.0,159
Operating Profit,5.0,6.0,6.0,8.0,8.0,8.0,11.0,12.0,15.0,15
OPM %,7.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,8.0,9
Other Income,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Interest,4.0,4.0,4.0,4.0,5.0,5.0,6.0,5.0,5.0,6
Depreciation,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3
Profit before tax,0.0,0.0,1.0,2.0,1.0,0.0,3.0,5.0,7.0,6
Tax %,77.0,24.0,33.0,26.0,14.0,84.0,25.0,31.0,30.0,
Net Profit,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,5.0,5
EPS in Rs,0.2,0.6,1.0,2.58,2.02,0.08,4.5,7.12,9.78,9.04
