,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,0.44,0.74,1.37,2.01,2.71,3.36,6.97,11.73,15.9,15.69,18.72,35.33,47.52
Interest,0.05,0.2,0.38,0.37,0.3,0.47,1.71,4.51,4.92,5.01,6.17,11.4,19.20
Expenses,0.19,0.28,0.46,0.65,0.69,0.78,1.31,1.23,4.81,8.35,11.6,17.47,19.81
Financing Profit,0.2,0.26,0.53,0.99,1.72,2.11,3.95,5.99,6.17,2.33,0.95,6.46,8.51
Financing Margin %,45.45,35.14,38.69,49.25,63.47,62.8,56.67,51.07,38.81,14.85,5.07,18.28,17.91
Other Income,0.0,0.0,0.01,0.01,0.02,0.04,0.09,0.0,0.0,0.0,0.64,1.91,0.90
Depreciation,0.01,0.01,0.01,0.02,0.05,0.05,0.04,0.03,0.04,0.15,0.27,0.36,0.49
Profit before tax,0.19,0.25,0.53,0.98,1.69,2.1,4.0,5.96,6.13,2.18,1.32,8.01,8.92
Tax %,26.32,24.0,32.08,31.63,31.36,32.86,27.75,31.21,17.78,28.44,53.03,12.98,
Net Profit,0.13,0.19,0.37,0.67,1.16,1.41,2.9,4.1,5.04,1.56,0.62,6.98,8.18
EPS in Rs,0.18,0.18,0.22,0.14,0.24,0.3,0.6,0.85,0.81,0.25,0.09,0.9,1.07
