,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Revenue,3.84,4.12,4.17,4.34,4.54,4.71,5.11,5.15,8.63,9.96,11.6,12.29,13.67
Interest,1.36,1.16,1.38,1.41,1.65,1.62,1.49,2.01,2.06,2.84,4.38,5.45,6.53
Expenses,1.62,1.56,3.99,2.69,2.35,2.66,2.78,3.14,4.04,4.25,6.16,4.62,4.78
Financing Profit,0.86,1.40,-1.20,0.24,0.54,0.43,0.84,0.00,2.53,2.87,1.06,2.22,2.36
Financing Margin %,22.40,33.98,-28.78,5.53,11.89,9.13,16.44,0.00,29.32,28.82,9.14,18.06,17.26
Other Income,0.00,0.00,0.00,0.13,0.01,0.00,0.50,1.01,0.0,0.00,0.9,0.0,0.0
Depreciation,0.04,0.04,0.05,0.05,0.06,0.07,0.10,0.07,0.08,0.10,0.1,0.14,0.15
Profit before tax,0.82,1.36,-1.25,0.32,0.49,0.36,1.24,0.94,2.45,2.77,1.86,2.08,2.21
Tax %,35.37,38.97,39.20,28.12,22.45,19.44,34.68,25.53,29.8,29.60,-40.86,25.0,6.33
Net Profit,0.54,0.82,-0.75,0.24,0.37,0.30,0.82,0.70,1.72,1.94,2.62,1.55,2.07
EPS in Rs,0.09,0.13,-0.12,0.04,0.06,0.05,0.12,0.11,0.24,0.26,0.34,0.2,0.27
Gross NPA %,,,,,,,,,2.54,,1.68,1.56,1.46
Net NPA %,,,,,,,,,1.97,,1.25,1.13,1.08
