,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1.31,4.56,1.11,17.9,1.21,-3.08,1.13,12.64,2.51,0.97,3.19,2.88
Expenses,2.2,-0.04,0.29,0.51,6.46,0.46,8.19,0.32,0.53,1.89,0.44,0.44
Operating Profit,-0.89,4.6,0.82,17.39,-5.25,-3.54,-7.06,12.32,1.98,-0.92,2.75,2.44
OPM %,-67.94,100.88,73.87,97.15,-433.88,,-624.78,97.47,78.88,-94.85,86.21,84.72
Other Income,0.06,0.75,4.25,2.74,9.07,0.06,0.0,0.08,0.04,0.04,0.0,0.0
Interest,0.45,5.08,0.02,0.87,0.39,0.43,0.83,0.75,0.75,0.68,0.22,0.16
Depreciation,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Profit before tax,-1.29,0.26,5.04,19.25,3.42,-3.92,-7.9,11.64,1.26,-1.57,2.52,2.27
Tax %,0.0,265.38,0.0,6.49,8.77,-13.78,-11.39,-4.21,34.13,-77.71,78.17,-126.43
Net Profit,-1.29,-0.43,5.04,18.0,3.13,-4.46,-8.8,12.12,0.83,-2.79,0.54,5.14
EPS in Rs,-1.28,-0.43,4.99,17.76,3.09,-4.40,-8.68,11.96,0.82,-2.75,0.53,5.07
