,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.57,7.87,7.59,5.2,2.75,7.31,0.43,3.94,8.09,18.52,27.42,9.05,9.55
Expenses,0.14,0.3,0.28,2.55,0.31,0.34,0.88,8.33,18.95,1.26,1.94,2.55,3.30
Operating Profit,7.43,7.57,7.31,2.65,2.44,6.97,-0.45,-4.39,-10.86,17.26,25.48,6.5,6.25
OPM %,98.15,96.19,96.31,50.96,88.73,95.35,-104.65,-111.42,-134.24,93.2,92.92,71.82,65.45
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.06,0.0,0.08
Interest,5.84,7.13,6.3,1.97,0.0,0.38,0.42,1.82,3.75,8.82,1.71,3.02,1.81
Depreciation,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.05,0.04,0.03,0.03,0.05,0.04
Profit before tax,1.59,0.44,1.01,0.68,2.43,6.58,-0.87,-6.26,-14.63,8.41,23.8,3.43,4.48
Tax %,32.7,18.18,31.68,111.76,21.4,27.66,91.95,-11.98,1.98,9.51,8.78,60.06,
Net Profit,1.07,0.36,0.69,-0.08,1.92,4.77,-0.07,-7.01,-14.34,7.61,21.71,1.36,3.72
EPS in Rs,11.89,4.0,2.65,-0.08,1.9,4.72,-0.07,-6.94,-14.2,7.53,21.41,1.34,3.67
