,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,19.0,22.0,22.0,19.0,15.0,28.0,76.0,29.0,26.0,33
Expenses,2.0,4.0,4.0,4.0,5.0,16.0,6.0,3.0,6.0,5
Operating Profit,17.0,18.0,18.0,14.0,10.0,12.0,70.0,26.0,21.0,28
OPM %,89.0,82.0,82.0,77.0,68.0,43.0,92.0,90.0,78.0,86
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14
Interest,7.0,12.0,15.0,13.0,9.0,8.0,31.0,14.0,9.0,12
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Profit before tax,10.0,6.0,3.0,2.0,2.0,4.0,40.0,12.0,24.0,29
Tax %,24.0,11.0,14.0,26.0,20.0,1.0,5.0,15.0,10.0,
Net Profit,8.0,6.0,2.0,1.0,1.0,4.0,38.0,10.0,22.0,27
EPS in Rs,7.58,5.77,2.36,1.12,1.49,3.65,37.96,10.28,22.02,27.22
