,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,10,10,10,10,10,10,10,10
Reserves,94,99,101,102,94,95,137,151,170,178
Borrowings,61,198,138,91,91,88,640,92,181,166
Other Liabilities,4,4,5,8,12,8,27,15,24,19
Total Liabilities,168,311,254,211,207,201,814,268,384,374
Fixed Assets,0,0,0,17,15,15,15,15,116,115
CWIP,0,0,0,0,0,0,0,0,0,0
Investments,95,102,98,75,73,73,65,74,72,76
Other Assets,73,209,156,119,119,113,735,179,196,182
Total Assets,168,311,254,211,207,201,814,268,384,374
