,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,599,877.0,1021.0,1625.0,1783.0,1646
Expenses,0,522,738.0,814.0,1192.0,1364.0,1343
Operating Profit,-0,77,138.0,207.0,433.0,419.0,303
OPM %,,13,16.0,20.0,27.0,24.0,18
Other Income,0,13,-9.0,-0.0,6.0,23.0,18
Interest,0,25,48.0,37.0,17.0,19.0,20
Depreciation,0,53,69.0,69.0,73.0,72.0,72
Profit before tax,-0,12,12.0,101.0,349.0,351.0,228
Tax %,0,-179,-23.0,32.0,31.0,27.0,
Net Profit,-0,35,14.0,69.0,240.0,257.0,185
EPS in Rs,,,1.18,5.61,19.61,20.92,15.06
