,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,4.46,5.42,4.23,4.48,5.04,5.71,5.6,4.35,3.01,2.78,4.23,4.69
Expenses,4.35,5.26,4.08,4.27,4.73,5.5,5.3,4.01,3.12,2.85,4.22,4.68
Operating Profit,0.11,0.16,0.15,0.21,0.31,0.21,0.3,0.34,-0.11,-0.07,0.01,0.01
OPM %,2.47,2.95,3.55,4.69,6.15,3.68,5.36,7.82,-3.65,-2.52,0.24,0.21
Other Income,0.25,0.17,0.15,0.17,0.08,0.19,0.11,0.15,0.19,0.14,0.26,0.19
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06
Profit before tax,0.3,0.27,0.24,0.32,0.33,0.34,0.35,0.43,0.01,0.01,0.21,0.14
Tax %,23.33,51.85,16.67,15.62,21.21,44.12,48.57,4.65,100.0,1100.0,4.76,7.14
Net Profit,0.23,0.12,0.19,0.27,0.26,0.19,0.17,0.41,0.01,-0.11,0.2,0.14
EPS in Rs,0.52,0.27,0.43,0.62,0.59,0.43,0.39,0.93,0.02,-0.25,0.46,0.32
