,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.04,0.00,0.00,0.00,1.8,4.42,4.62,4.8,21.8,31.8,34.68,38.61,40.93
Expenses,1.62,0.22,0.22,0.61,2.11,4.5,5.07,5.58,20.29,27.74,29.6,33.0,35.06
Operating Profit,-1.58,-0.22,-0.22,-0.61,-0.31,-0.08,-0.45,-0.78,1.51,4.06,5.08,5.61,5.87
OPM %,-3950.0,,,,-17.22,-1.81,-9.74,-16.25,6.93,12.77,14.65,14.53,14.34
Other Income,0.01,0.00,-0.01,0.04,0.01,0.03,0.0,0.25,0.34,0.01,0.08,0.02,0.02
Interest,0.13,0.01,0.05,0.37,0.54,0.51,0.66,0.75,1.16,0.74,0.71,1.11,1.34
Depreciation,0.21,0.19,0.19,0.25,0.24,0.27,0.31,0.31,0.68,0.71,0.72,0.75,0.78
Profit before tax,-1.91,-0.42,-0.47,-1.19,-1.08,-0.83,-1.42,-1.59,0.01,2.62,3.73,3.77,3.77
Tax %,0.0,0.00,0.00,0.00,0.0,0.0,0.0,0.0,3100.0,12.21,19.03,11.67,
Net Profit,-1.91,-0.42,-0.48,-1.19,-1.08,-0.83,-1.43,-1.59,-0.29,2.3,3.01,3.33,3.34
EPS in Rs,-3.79,-0.83,-0.95,-2.36,-2.14,-1.65,-2.84,-3.15,-0.58,2.1,2.75,3.04,3.06
