,2006-03-01,2007-03-01,2008-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,19,19,19,24,24,24,24,24,28,28,28
Reserves,98,107,113,478,548,588,604,614,481,506,519
Borrowings,107,112,113,156,283,357,288,140,49,26,51
Other Liabilities,51,62,63,106,146,147,344,392,174,169,153
Total Liabilities,274,300,308,764,1002,1115,1260,1170,732,729,751
Fixed Assets,111,118,124,354,357,409,585,568,361,394,389
CWIP,13,18,30,2,25,5,11,8,4,1,5
Investments,6,2,6,1,1,1,1,2,7,12,12
Other Assets,145,163,148,408,619,701,663,592,360,322,345
Total Assets,274,300,308,764,1002,1115,1260,1170,732,729,751
