,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,0.0,108.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inventory Days,,,0.00,0.00,,,,,,
Days Payable,,,,,,,,,,
Cash Conversion Cycle,0.0,108.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Working Capital Days,-73.99,4366.48,2874.38,-91.25,-60.83,-132.73,405.56,121.67,193.24,160.60
ROCE %,,3.70,0.24,-0.72,0.72,0.47,0.00,-0.48,3.99,4.55
