,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,7.8,9.37,9.81,8.52,9.12,9.75,11.97,11.34,5.1,23.33,33.11,41.56
Expenses,6.81,7.6,9.02,7.51,8.19,8.44,9.12,9.46,7.83,21.97,31.04,38.63
Operating Profit,0.99,1.77,0.79,1.01,0.93,1.31,2.85,1.88,-2.73,1.36,2.07,2.93
OPM %,12.69,18.89,8.05,11.85,10.2,13.44,23.81,16.58,-53.53,5.83,6.25,7.05
Other Income,0.0,0.0,0.0,0.02,0.02,0.0,-0.33,0.01,0.06,0.56,0.05,0.18
Interest,0.05,0.08,0.09,0.39,0.03,0.07,0.08,0.07,0.08,0.08,0.03,0.01
Depreciation,0.74,0.66,0.62,0.63,0.63,0.84,0.96,1.03,1.32,1.57,1.35,1.25
Profit before tax,0.2,1.03,0.08,0.01,0.29,0.4,1.48,0.79,-4.07,0.27,0.74,1.85
Tax %,155.0,86.41,112.5,-2400.0,20.69,45.0,46.62,35.44,3.69,22.22,-12.16,-4.32
Net Profit,-0.1,0.15,0.0,0.26,0.23,0.22,0.8,0.5,-3.92,0.21,0.82,1.93
EPS in Rs,-0.29,0.44,0.0,0.15,0.13,0.13,0.46,0.29,-2.23,0.12,0.47,1.1
