,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-09-01
Sales,9.18,0.67,4.38,0.95,22.38,11.47,21.65,26.43,11.3
Expenses,3.33,4.15,3.68,3.6,18.37,10.57,20.48,25.75,12.97
Operating Profit,5.85,-3.48,0.7,-2.65,4.01,0.9,1.17,0.68,-1.67
OPM %,63.73,-519.4,15.98,-278.95,17.92,7.85,5.4,2.57,-14.78
Other Income,0.01,0.0,0.11,0.06,0.5,0.0,0.05,0.0,0.4
Interest,0.03,0.06,0.02,0.05,0.03,0.02,0.01,0.01,0.04
Depreciation,0.53,0.58,0.74,0.78,0.79,0.68,0.67,0.55,0.55
Profit before tax,5.3,-4.12,0.05,-3.42,3.69,0.2,0.54,0.12,-1.86
Tax %,5.28,-0.73,-320.0,-2.63,-0.81,30.0,-27.78,-25.0,2.15
Net Profit,5.02,-4.15,0.21,-3.51,3.73,0.14,0.68,0.14,-1.82
EPS in Rs,2.86,-2.37,0.12,-2.0,2.13,0.08,0.39,0.08,-1.04
