,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,2,1,9,17
Cash from Investing Activity,-6,-14,-16,-53
Cash from Financing Activity,4,15,7,38
Net Cash Flow,0,2,0,1
