,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.34,1.34,1.34,1.39,15.4
Reserves,4.34,9.36,13.45,26.13,65.2
Borrowings,40.68,38.71,38.01,39.27,28.66
Other Liabilities,11.98,8.98,11.98,11.54,15.21
Total Liabilities,58.34,58.39,64.78,78.33,124.47
Fixed Assets,35.45,35.19,35.84,37.08,36.01
CWIP,2.11,0.46,0.49,0.0,0.0
Investments,0.39,0.36,0.28,0.29,0.25
Other Assets,20.39,22.38,28.17,40.96,88.21
Total Assets,58.34,58.39,64.78,78.33,124.47
