,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0.66,4.06,9.27,1.33
Cash from Investing Activity,-1.38,0.05,-3.62,-5.07
Cash from Financing Activity,1.19,-3.25,-5.35,3.35
Net Cash Flow,0.48,0.85,0.3,-0.4
