,2023-09-01
Depreciation,1.14
EPS in Rs,
Expenses,15.01
Interest,1.53
Net Profit,4.25
OPM %,32.08
Operating Profit,7.09
Other Income,0.75
Profit before tax,5.17
Sales,22.10
Tax %,17.02
