,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.0,0,0,0,0,0,0,0,0,0,83.0,36.0,35
Expenses,54.0,45,49,40,43,45,296,673,53,36,57.0,47.0,49
Operating Profit,-53.0,-45,-49,-40,-43,-45,-296,-673,-53,-36,25.0,-11.0,-14
OPM %,-3470.0,,,,,,,,,,31.0,-31.0,-41
Other Income,60.0,80,75,75,69,62,54,54,28,17,6.0,10.0,7
Interest,0.0,0,0,0,0,0,1,4,21,32,30.0,24.0,28
Depreciation,-1.0,9,9,9,7,5,15,15,2,2,15.0,2.0,2
Profit before tax,8.0,26,17,26,19,12,-258,-638,-48,-52,-14.0,-27.0,-38
Tax %,58.0,51,63,32,44,47,2,29,-59,24,-7.0,39.0,
Net Profit,3.0,13,6,18,11,7,-253,-452,-77,-40,-14.0,-17.0,-22
EPS in Rs,5.73,21.43,10.43,29.50,18.23,10.93,-421.60,-752.72,-127.82,-66.08,-24.15,-27.57,-36.27
