,2009-03-01,2010-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,,0.0,0.0,73.25,266.35,5996.63,,902.18,6096.01,3717.76,21793.17
Inventory Days,,,,1034.17,75.7,2.72,99.36,,,,234.47,418.99
Days Payable,,,,0.0,87.03,186.25,4137.13,,,,502.78,1289.38
Cash Conversion Cycle,,,0.0,1034.17,61.92,82.82,1958.86,,902.18,6096.01,3449.45,20922.79
Working Capital Days,,,15526.54,1550.86,252.23,299.32,6863.24,,3571.97,23945.52,14618.48,83896.59
ROCE %,,0.00,,0.21,0.44,0.54,0.13,0.10,-4.72,-0.34,0.04,0.16
