,2021-03-01,2022-03-01,2023-03-01
Debtor Days,91.66,72.16,53.92
Inventory Days,,,
Days Payable,,,
Cash Conversion Cycle,91.66,72.16,53.92
Working Capital Days,55.64,90.71,65.39
ROCE %,,9.41,19.56
