,2023-09-01
Depreciation,3.51
EPS in Rs,2.12
Expenses,48.58
Interest,0.31
Net Profit,2.23
OPM %,12.81
Operating Profit,7.14
Other Income,0.25
Profit before tax,3.57
Sales,55.72
Tax %,37.82
