,2021-03-01,2022-03-01,2023-03-01
Sales,29.19,30.3,82.11
Expenses,26.72,27.14,74.35
Operating Profit,2.47,3.16,7.76
OPM %,8.46,10.43,9.45
Other Income,0.6,0.49,0.5
Interest,0.15,0.09,0.73
Depreciation,2.37,1.68,3.39
Profit before tax,0.55,1.88,4.14
Tax %,-32.73,13.83,25.12
Net Profit,0.74,1.63,3.09
EPS in Rs,4.93,10.87,2.94
