,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,23.36,23.36,25.0,25.0,25.0
Reserves,34.83,34.88,30.46,32.49,31.01
Borrowings,72.94,70.73,63.05,60.81,58.1
Other Liabilities,25.41,28.28,47.42,42.18,49.01
Total Liabilities,156.54,157.25,165.93,160.48,163.12
Fixed Assets,39.43,36.54,49.58,44.59,41.96
CWIP,25.03,25.93,13.0,13.89,14.3
Investments,4.89,4.89,4.89,4.89,4.89
Other Assets,87.19,89.89,98.46,97.11,101.97
Total Assets,156.54,157.25,165.93,160.48,163.12
